trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1260590_b_78499_tn_9,16:03:00,16:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:04:01,16:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:06:00,16:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:06:00,16:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:08:00,16:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:09:00,16:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:09:01,16:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:10:00,16:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:11:00,16:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:11:01,16:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:12:00,16:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:13:00,16:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:13:01,16:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:14:00,16:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:15:00,16:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:15:01,16:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78499_tn_9,16:22:00,16:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,07:48:00,07:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,07:55:00,07:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,07:56:01,07:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:00:00,08:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:03:00,08:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:03:00,08:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:04:01,08:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:06:00,08:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:06:00,08:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:08:00,08:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:09:00,08:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:09:01,08:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:10:00,08:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:11:00,08:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:11:01,08:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:12:00,08:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:13:00,08:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:13:01,08:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:14:00,08:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:15:00,08:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:15:01,08:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_1,08:22:00,08:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,16:48:00,16:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,16:55:00,16:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,16:56:01,16:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:00:00,17:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:03:00,17:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:03:00,17:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:04:01,17:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:06:00,17:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:06:00,17:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:08:00,17:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:09:00,17:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:09:01,17:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:10:00,17:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:11:00,17:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:11:01,17:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:12:00,17:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:13:00,17:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:13:01,17:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:14:00,17:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:15:00,17:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:15:01,17:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_10,17:22:00,17:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,08:48:00,08:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,08:55:00,08:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,08:56:01,08:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:00:00,09:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:03:00,09:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:03:00,09:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:04:01,09:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:06:00,09:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:06:00,09:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:08:00,09:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:09:00,09:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:09:01,09:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:10:00,09:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:11:00,09:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:11:01,09:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:12:00,09:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:13:00,09:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:13:01,09:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:14:00,09:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:15:00,09:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:15:01,09:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_2,09:22:00,09:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,09:48:00,09:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,09:55:00,09:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,09:56:01,09:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:00:00,10:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:03:00,10:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:03:00,10:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:04:01,10:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:06:00,10:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:06:00,10:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:08:00,10:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:09:00,10:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:09:01,10:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:10:00,10:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:11:00,10:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:11:01,10:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:12:00,10:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:13:00,10:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:13:01,10:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:14:00,10:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:15:00,10:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:15:01,10:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_3,10:22:00,10:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,10:48:00,10:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,10:55:00,10:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,10:56:01,10:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:00:00,11:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:03:00,11:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:03:00,11:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:04:01,11:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:06:00,11:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:06:00,11:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:08:00,11:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:09:00,11:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:09:01,11:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:10:00,11:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:11:00,11:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:11:01,11:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:12:00,11:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:13:00,11:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:13:01,11:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:14:00,11:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:15:00,11:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:15:01,11:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_4,11:22:00,11:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,11:48:00,11:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,11:55:00,11:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,11:56:01,11:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:00:00,12:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:03:00,12:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:03:00,12:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:04:01,12:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:06:00,12:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:06:00,12:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:08:00,12:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:09:00,12:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:09:01,12:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:10:00,12:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:11:00,12:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:11:01,12:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:12:00,12:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:13:00,12:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:13:01,12:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:14:00,12:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:15:00,12:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:15:01,12:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_5,12:22:00,12:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,12:48:00,12:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,12:55:00,12:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,12:56:01,12:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:00:00,13:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:03:00,13:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:03:00,13:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:04:01,13:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:06:00,13:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:06:00,13:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:08:00,13:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:09:00,13:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:09:01,13:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:10:00,13:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:11:00,13:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:11:01,13:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:12:00,13:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:13:00,13:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:13:01,13:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:14:00,13:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:15:00,13:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:15:01,13:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_6,13:22:00,13:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,13:48:00,13:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,13:55:00,13:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,13:56:01,13:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:00:00,14:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:03:00,14:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:03:00,14:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:04:01,14:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:06:00,14:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:06:00,14:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:08:00,14:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:09:00,14:09:00,2436254,11,,0,0,9953.51709107408,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:09:01,14:09:01,2436255,12,,0,0,10047.2995218328,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:10:00,14:10:00,2436258,13,,0,0,10324.344485706,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:11:00,14:11:00,2436257,14,,0,0,10630.6516002438,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:11:01,14:11:01,2436256,15,,0,0,10982.1936721534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:12:00,14:12:00,2436248,16,,0,0,11171.0581533355,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:13:00,14:13:00,2436243,17,,0,0,11491.8805946086,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:13:01,14:13:01,2618983,18,,0,0,11854.615405699,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:14:00,14:14:00,2436260,19,,0,0,12202.65550446,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:15:00,14:15:00,2436235,20,,0,0,12609.5344863551,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:15:01,14:15:01,2436236,21,,0,0,12962.2256936388,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_7,14:22:00,14:22:00,2436192,22,,0,0,18410.0820829,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,14:48:00,14:48:00,2436192,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,14:55:00,14:55:00,2436266,2,,0,0,6077.11446209203,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,14:56:01,14:56:01,2436260,3,,0,0,6353.83251869534,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:00:00,15:00:00,2618982,4,,0,0,6705.50839686988,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:03:00,15:03:00,2436249,5,,0,0,7644.52579373353,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:03:00,15:03:00,2619288,6,,0,0,7874.97435188472,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:04:01,15:04:01,2436250,7,,0,0,8118.39295231543,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:06:00,15:06:00,2436251,8,,0,0,8663.91928507317,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:06:00,15:06:00,2436252,9,,0,0,8961.84323347617,0,,,,,1,1,,,,,,,,,,,
t_1260590_b_78523_tn_8,15:08:00,15:08:00,2436253,10,,0,0,9424.54283004175,0,,,,,1,1,,,,,,,,,,,
